nMC	Rp	Porb	Mp	ecc	inc	Omega	omega	theta	Abond	AgeomVIS	AgeomMIR	zodis	a	rp	ang_sep	ang_sep_max	Finc	f	Tp	nstar	SName	Rs	Ms	Ts	dist	stype	ra	dec	lGal	bGal	
Nuniverse	Rp	Porb	Mp	ep	ip	Omegap	omegap	thetap	Abond	AgeomVIS	AgeomMIR	z	ap	rp	AngSep	maxAngSep	Fp	fp	Tp	Nstar	SName	Rs	Ms	Ts	Ds	Stype	RA	Dec	lGal	bGal	
0	0.77227	1.42756	0.52588	0.00000	0.62825	1.75247	3.28601	0.13601	0.47613	0.26038	0.08975	291.62864	0.02481	0.02481	0.00164	0.00166	1597.88601	0.40386	1497.08334	0	*  20 LMi	1.01000	1.00000	5720.00000	14.92631	G	150.25274	31.92367	195.01552	52.85333	
0	2.59483	2.97380	6.46922	0.00000	0.62825	4.20041	1.24677	5.01561	0.56228	0.08171	0.03881	291.62864	0.04047	0.04047	0.00271	0.00271	600.60272	0.32445	1120.72420	0	*  20 LMi	1.01000	1.00000	5720.00000	14.92631	G	150.25274	31.92367	195.01552	52.85333	
0	1.82684	62.00624	2.59716	0.00000	0.62825	0.65733	3.05771	2.12297	0.22049	0.30530	0.06629	291.62864	0.30662	0.30662	0.01749	0.02054	10.46541	0.62541	470.37940	0	*  20 LMi	1.01000	1.00000	5720.00000	14.92631	G	150.25274	31.92367	195.01552	52.85333	
0	0.96603	93.81980	0.48401	0.00000	0.62825	1.26469	5.51579	0.54421	0.18724	0.28188	0.07306	291.62864	0.40411	0.40411	0.02684	0.02707	6.02482	0.38605	414.02888	0	*  20 LMi	1.01000	1.00000	5720.00000	14.92631	G	150.25274	31.92367	195.01552	52.85333	
0	0.77616	110.13855	0.51508	0.00000	0.62825	3.88927	0.40143	6.03792	0.51126	0.40629	0.08817	291.62864	0.44971	0.44971	0.03000	0.03013	4.86502	0.27394	345.61631	0	*  20 LMi	1.01000	1.00000	5720.00000	14.92631	G	150.25274	31.92367	195.01552	52.85333	
0	0.61357	126.26306	0.25978	0.00000	0.62825	5.87526	0.37761	6.10701	0.04967	0.50355	0.07128	291.62864	0.49259	0.49259	0.03277	0.03300	4.05479	0.26172	389.95496	0	*  20 LMi	1.01000	1.00000	5720.00000	14.92631	G	150.25274	31.92367	195.01552	52.85333	
0	2.03875	264.09242	6.74323	0.00000	0.62825	1.45785	1.78552	3.06573	0.69825	0.53149	0.03138	291.62864	0.80564	0.80564	0.04389	0.05397	1.51587	0.66498	228.89226	0	*  20 LMi	1.01000	1.00000	5720.00000	14.92631	G	150.25274	31.92367	195.01552	52.85333	
0	0.55181	372.55439	0.06747	0.00000	0.62825	4.84720	0.83579	6.22484	0.32059	0.48215	0.06663	291.62864	1.01336	1.01336	0.06185	0.06789	0.95811	0.13963	250.00029	0	*  20 LMi	1.01000	1.00000	5720.00000	14.92631	G	150.25274	31.92367	195.01552	52.85333	
1	0.56464	4.73408	0.13377	0.00000	2.26116	4.20699	6.25377	4.70318	0.35987	0.27287	0.06836	281.69020	0.05518	0.05518	0.00236	0.00370	323.11427	0.80384	1055.50334	0	*  20 LMi	1.01000	1.00000	5720.00000	14.92631	G	150.25274	31.92367	195.01552	52.85333	
1	1.09807	23.47564	1.54632	0.00000	2.26116	2.88871	4.68667	6.03058	0.13591	0.12681	0.05306	281.69020	0.16047	0.16047	0.00721	0.01075	38.21026	0.78136	667.17330	0	*  20 LMi	1.01000	1.00000	5720.00000	14.92631	G	150.25274	31.92367	195.01552	52.85333	
1	3.02359	78.00600	5.48009	0.00000	2.26116	1.14464	4.94161	3.31992	0.72287	0.57570	0.08187	281.69020	0.35732	0.35732	0.01691	0.02394	7.70606	0.04811	336.45855	0	*  20 LMi	1.01000	1.00000	5720.00000	14.92631	G	150.25274	31.92367	195.01552	52.85333	
2	2.09955	62.24900	7.02884	0.00000	0.36625	5.13088	4.90551	4.00427	0.04889	0.35706	0.06521	0.01876	0.30742	0.30742	0.02027	0.02060	10.41102	0.23508	493.72514	0	*  20 LMi	1.01000	1.00000	5720.00000	14.92631	G	150.25274	31.92367	195.01552	52.85333	
4	0.74251	8.84276	0.41000	0.00000	1.35935	0.40729	3.68151	3.63540	0.04587	0.23639	0.02109	258.82482	0.08369	0.08369	0.00304	0.00561	140.46016	0.01935	946.98800	0	*  20 LMi	1.01000	1.00000	5720.00000	14.92631	G	150.25274	31.92367	195.01552	52.85333	
