# %ECSV 0.9,,,,,,,,,,,,
# ---,,,,,,,,,,,,
# datatype:,,,,,,,,,,,,
# - name: sim_ra,,,,,,,,,,,,
#   unit: deg,,,,,,,,,,,,
#   datatype: float64,,,,,,,,,,,,
#   description: Right ascension,,,,,,,,,,,,
#   meta: !!omap,,,,,,,,,,,,
#   - {ucd: pos.eq.ra;meta.main},,,,,,,,,,,,
# - name: sim_dec,,,,,,,,,,,,
#   unit: deg,,,,,,,,,,,,
#   datatype: float64,,,,,,,,,,,,
#   description: Declination,,,,,,,,,,,,
#   meta: !!omap,,,,,,,,,,,,
#   - {ucd: pos.eq.dec;meta.main},,,,,,,,,,,,
# - name: sim_plx,,,,,,,,,,,,
#   unit: mas,,,,,,,,,,,,
#   datatype: float64,,,,,,,,,,,,
#   description: Parallax,,,,,,,,,,,,
#   meta: !!omap,,,,,,,,,,,,
#   - {ucd: pos.parallax.trig},,,,,,,,,,,,
# - name: distance,,,,,,,,,,,,
#   datatype: float64,,,,,,,,,,,,
#   meta: !!omap,,,,,,,,,,,,
#   - {ucd: pos.parallax.trig},,,,,,,,,,,,
# - {name: sim_name, datatype: string},,,,,,,,,,,
# - {name: sim_sptype, datatype: string},,,,,,,,,,,
# - {name: gal_coord_l, unit: deg, datatype: float64},,,,,,,,,,
# - {name: gal_coord_b, unit: deg, datatype: float64},,,,,,,,,,
# - {name: mod_Teff, unit: K, datatype: float64},,,,,,,,,,
# - {name: mod_R, unit: solRad, datatype: float64},,,,,,,,,,
# - {name: mod_M, unit: solMass, datatype: float64},,,,,,,,,,
# - {name: sep_phys, unit: AU, datatype: float64},,,,,,,,,,
# - {name: binary_flag, datatype: bool},,,,,,,,,,,
# delimiter: ',',,,,,,,,,,,
# meta: !!omap,,,,,,,,,,,,
# - {ID: result_1591693106145},,,,,,,,,,,,
# - {name: result_1591693106145},,,,,,,,,,,,
# schema: astropy-2.0,,,,,,,,,,,,
sim_ra,sim_dec,sim_plx,distance,sim_name,sim_sptype,gal_coord_l,gal_coord_b,mod_Teff,mod_R,mod_M,sep_phys,binary_flag
150.2527366,31.92367135,66.9958,14.92630881,*  20 LMi,G3VaHdel1,195.0155201,52.85332974,5720,1.01,1,1985.2,TRUE
150.2092355,31.92923454,68.8826,14.51745434,*  20 LMi B,M6.0V,195.0022128,52.8168681,2710,0.129,0.097,1930.8,TRUE
157.6565849,55.98053789,77.4346,12.91412366,*  36 UMa,F8V,154.2918155,51.70255043,6170,1.25,1.18,1582,TRUE
157.6054544,55.99912748,77.4032,12.91936251,*  36 UMa B,K7Ve,154.2928487,51.66844644,4070,0.654,0.63,1582.6,TRUE
316.7247484,38.74941584,285.9459,3.497165023,*  61 Cyg A,K5V,82.31973925,-5.818105191,4330,0.672,0.66,68.5,TRUE
316.7302669,38.74204504,286.1457,3.494723143,*  61 Cyg B,K7V,82.31713231,-5.826237088,4070,0.654,0.63,68.5,TRUE
118.0652617,-34.70544383,54.7755,18.25633723,* 212 Pup A,F5V,250.2640387,-3.882801726,6510,1.46,1.33,54.8,TRUE
118.0639822,-34.70549113,54.4566,18.36324706,* 212 Pup B,K3V,250.2635429,-3.883731281,4700,0.72,0.73,55.1,TRUE
48.01887219,-28.98761906,71.6818,13.95054254,* alf For A,F6V,224.7304058,-59.03031546,6340,1.36,1.25,41.9,TRUE
48.01749844,-28.98695049,71.128,14.05916095,* alf For B,G7V,224.7289019,-59.03145216,5530,0.949,0.96,42.2,TRUE
86.11579539,-22.44838355,112.02,8.926977325,* gam Lep,F6V,226.7957601,-24.27309601,6340,1.36,1.25,855.2,TRUE
341.6732549,12.17288485,61.36,16.29726206,* ksi Peg,F6V,81.27500457,-40.39896603,6340,1.36,1.25,179.3,TRUE
341.6764252,12.17253317,61.1719,16.34737518,* ksi Peg B,M3.5,81.27796487,-40.40112133,3250,0.291,0.26,179.8,TRUE
216.2991543,51.85074358,68.82,14.53065969,* tet Boo,F7V,93.83210088,59.65259657,6240,1.3,1.21,1004.1,TRUE
216.2982518,51.83141809,68.7887,14.53727138,* tet Boo B,M2.5V,93.8060757,59.66677268,3500,0.393,0.4,1004.5,TRUE
76.37773408,-57.47270248,86.0239,11.6246764,* zet Dor,F9VFe-0.5,266.0336529,-36.71582619,6000,1.18,1.11,3725.7,TRUE
55.96901743,16.67202922,58.1097,17.20883088,BD+16   502,K6V,171.6769788,-29.44598594,4190,0.656,0.64,1832.7,TRUE
166.3690749,43.5267754,206.27,4.848014738,BD+44  2051,M1.0Ve,168.5027016,63.0714353,3650,0.46,0.47,151.7,TRUE
166.3786902,43.52163453,204.0592,4.900538667,BD+44  2051B,M6.0V,168.5052424,63.08002085,2710,0.129,0.097,153.4,TRUE
214.3515916,45.44447617,51.429,19.44428241,BD+46  1951,M0Vp,85.55672165,64.94743174,3800,0.535,0.54,1149.2,TRUE
76.70798445,-21.58586833,50.308,19.87755427,BD-21  1074A,M2,222.4897955,-32.17471747,3500,0.393,0.4,169,TRUE
