nMC	Rp	Porb	Mp	ecc	inc	Omega	omega	theta	Abond	AgeomVIS	AgeomMIR	zodis	a	rp	ang_sep	ang_sep_max	Finc	f	Tp	nstar	SName	Rs	Ms	Ts	dist	stype	ra	dec	lGal	bGal	
Nuniverse	Rp	Porb	Mp	ep	ip	Omegap	omegap	thetap	Abond	AgeomVIS	AgeomMIR	z	ap	rp	AngSep	maxAngSep	Fp	fp	Tp	Nstar	SName	Rs	Ms	Ts	Ds	Stype	RA	Dec	lGal	bGal	
0	0.72958	221.80959	0.24923	0.00000	2.08581	1.22495	1.57992	3.40974	0.08671	0.39208	0.07172	0.24968	0.71717	0.71717	0.02629	0.04805	1.91292	0.85695	319.98556	0	*  20 LMi	1.01000	1.00000	5720.00000	14.92631	G	150.25274	31.92367	195.01552	52.85333	
1	0.57793	2.10270	0.37736	0.00000	2.16287	2.30952	5.43090	4.19784	0.28708	0.42002	0.01230	3.80823	0.03212	0.03212	0.00212	0.00215	953.45781	0.40685	1421.14874	0	*  20 LMi	1.01000	1.00000	5720.00000	14.92631	G	150.25274	31.92367	195.01552	52.85333	
1	0.80861	210.91970	0.41860	0.00000	2.16287	4.78060	0.74646	1.66947	0.69288	0.28206	0.07931	3.80823	0.69350	0.69350	0.03878	0.04646	2.04572	0.09258	247.79422	0	*  20 LMi	1.01000	1.00000	5720.00000	14.92631	G	150.25274	31.92367	195.01552	52.85333	
0	1.74938	17.94277	3.77263	0.00000	0.45772	5.78753	2.33927	4.44302	0.15935	0.18107	0.05942	0.66770	0.06163	0.06163	0.00415	0.00425	0.21288	0.21970	181.02586	1	*  20 LMi B	0.12900	0.09700	2710.00000	14.51745	M	150.20924	31.92923	195.00221	52.81687	
0	1.93927	94.83674	5.59494	0.00000	0.45772	3.99631	2.64041	2.10149	0.09888	0.28484	0.07629	0.66770	0.18702	0.18702	0.01156	0.01288	0.02312	0.57076	105.74361	1	*  20 LMi B	0.12900	0.09700	2710.00000	14.51745	M	150.20924	31.92923	195.00221	52.81687	
0	2.44787	407.52820	2.70717	0.00000	0.45772	3.27635	1.13705	1.20623	0.60217	0.09763	0.00263	0.66770	0.49431	0.49431	0.03230	0.03405	0.00331	0.17615	53.01771	1	*  20 LMi B	0.12900	0.09700	2710.00000	14.51745	M	150.20924	31.92923	195.00221	52.81687	
1	2.99587	1.03218	12.82673	0.00000	1.78509	3.15706	2.73961	5.50752	0.73982	0.13419	0.09890	0.74151	0.00918	0.00918	0.00027	0.00063	9.58617	0.00917	349.77002	1	*  20 LMi B	0.12900	0.09700	2710.00000	14.51745	M	150.20924	31.92923	195.00221	52.81687	
1	1.75252	271.01424	8.29751	0.00000	1.78509	5.35143	2.83709	2.11047	0.77086	0.17827	0.01338	0.74151	0.37661	0.37661	0.00808	0.02594	0.00570	0.95357	52.91474	1	*  20 LMi B	0.12900	0.09700	2710.00000	14.51745	M	150.20924	31.92923	195.00221	52.81687	
0	2.14013	40.13020	6.74323	0.00000	1.21534	6.02000	3.89474	5.47495	0.59546	0.50706	0.08294	6.11778	0.24243	0.24243	0.01875	0.01877	34.71528	0.29292	538.79517	2	*  36 UMa	1.25000	1.18000	6170.00000	12.91412	F	157.65658	55.98054	154.29182	51.70255	
