Ftherm_star	Ftherm_planet	Frefl_planet	
Star.Blackbody	Planet.Thermal	Planet.Reflected	
514326.969880103657	00000.213612603347	00000.000059333649	
514326.969880103657	00002.668664321480	00000.001511271599	
514326.969880103657	00000.106345198246	00000.000009311810	
03809.825704771489	00000.124960241389	00000.000072680211	
03809.825704771489	00000.003700498916	00000.000032351252	
03809.825704771489	00000.000000967160	00000.000000078503	
03809.825704771489	00004.992874542201	00000.000667414575	
03809.825704771489	00000.000000479360	00000.000001909064	
1142436.536927604582	00009.509367722957	00000.003922989209	
1142436.536927604582	00000.194848732734	00000.000000095774	
1142436.536927604582	00149.039720488054	00001.262585400851	
1142436.536927604582	00115.014069055666	00000.060819267135	
1142436.536927604582	00014.643765508927	00000.031136698904	
1142436.536927604582	00163.331290495456	00000.269310437531	
1142436.536927604582	00002.387586156187	00000.000183908294	
197688.746672979236	00001.400370240910	00000.001072333370	
197688.746672979236	00041.954997124663	00000.132471340135	
197688.746672979236	00000.303104426915	00000.000054009319	
197688.746672979236	00000.762940449234	00000.000140865162	
197688.746672979236	00000.198657533855	00000.000003866354	
3052985.419431335758	00033.422011139903	00000.379936492092	
3052985.419431335758	00114.282084920625	00000.010364685824	
3052985.419431335758	00009.930953595744	00000.003328063413	
3052985.419431335758	00000.189312630076	00000.000043065456	
3052985.419431335758	00000.029876931031	00000.000018271732	
3052985.419431335758	00000.264933027044	00000.000359388230	
3052985.419431335758	00000.548455899030	00000.001045618003	
2701712.781318913214	00173.482321668599	00000.000718989886	
2701712.781318913214	00030.332813675494	00000.000119675309	
2701712.781318913214	00000.043994072268	00000.000107782808	
2701712.781318913214	00009.257189676268	00000.004929324883	
2701712.781318913214	00000.967785712092	00000.000057940582	
826302.657645194791	00005.679626303294	00000.018600053550	
826302.657645194791	00003.775944969507	00000.000530350583	
826302.657645194791	00019.740825005807	00000.050465606988	
826302.657645194791	00000.839866068708	00000.000137207088	
826302.657645194791	00000.547767798366	00000.000036511515	
826302.657645194791	00000.346176877485	00000.000146068527	
826302.657645194791	00003.396243749384	00000.000022130995	
826302.657645194791	00000.303224137200	00000.000035762927	
826302.657645194791	00002.199490741877	00000.000102707759	
139235.765031308954	00011.652491905167	00000.034060559125	
139235.765031308954	00001.146462443978	00000.000038357005	
139235.765031308954	00000.515614738160	00000.000001792682	
139235.765031308954	00000.103698986039	00000.000004082579	
139235.765031308954	00000.762017122508	00000.000124911208	
139235.765031308954	00000.013153799827	00000.000001608441	
139235.765031308954	00000.108294972180	00000.000026308873	
139235.765031308954	00000.032691727715	00000.000000319224	
1193377.890875293408	00006.919416557973	00000.004987944083	
493340.026141167327	00003.432816077075	00000.027426209088	
493340.026141167327	00001.439842098459	00000.000048649449	
2914411.697981791571	00020.266282785663	00000.051050777982	
2914411.697981791571	00449.063413204456	00000.078720727204	
2914411.697981791571	00005.334682012251	00000.003205066312	
2914411.697981791571	00005.134448573954	00000.000057338384	
2914411.697981791571	00002.042883456168	00000.000000110446	
2914411.697981791571	00031.130960780682	00000.000162065620	
2914411.697981791571	00039.089208184071	00000.117619159298	
2914411.697981791571	00001.548244274380	00000.000013878844	
874441.653241100954	00184.103789804375	00000.278887398659	
874441.653241100954	00000.627527761669	00000.000136941495	
874441.653241100954	00022.166394722130	00000.003149548696	
18918.512059931720	00000.013912272678	00000.000009833812	
18918.512059931720	00000.000117178071	00000.000000559434	
18918.512059931720	00000.092505855849	00000.000048236746	
18918.512059931720	00000.057060703714	00000.000002782818	
18918.512059931720	00000.000489342035	00000.000003323136	
18918.512059931720	00000.000613000449	00000.000000369876	
987981.888342392631	00014.276316405347	00000.011928659929	
987981.888342392631	00018.130608707328	00000.006124551640	
987981.888342392631	00000.365985364118	00000.000096624079	
987981.888342392631	00000.524678668531	00000.000151354519	
987981.888342392631	00001.245181342122	00000.004200400076	
987981.888342392631	00004.651300973126	00000.001327487486	
47515.762998381324	00001.624856942823	00000.000463915787	
47515.762998381324	00000.001717525315	00000.000001546898	
47515.762998381324	00000.003757484414	00000.000013469699	
1219044.636166820535	00006.928938718649	00000.003394406783	
1219044.636166820535	00001.622514355784	00000.000089129962	
1219044.636166820535	00000.432178408565	00000.000164730105	
1219044.636166820535	00000.179080361344	00000.000000210533	
1219044.636166820535	00001.405416555651	00000.000079621476	
1219044.636166820535	00003.156403654850	00000.011720792418	
1219044.636166820535	00046.650893034829	00000.006022993344	
1219044.636166820535	00000.739945321024	00000.000000162997	
1219044.636166820535	00002.998692019825	00000.002280700359	
1219044.636166820535	00000.765394660829	00000.000314126039	
1219044.636166820535	00000.412179607460	00000.000161049083	
1219044.636166820535	00000.209834642046	00000.000039127456	
1219044.636166820535	00000.337330712200	00000.000009330543	
115816.035160247382	00004.600596654127	00000.003590064061	
115816.035160247382	00000.502603815494	00000.000018386712	
115816.035160247382	00000.251080859030	00000.000004057301	
115816.035160247382	00000.078689168066	00000.000076249937	
115816.035160247382	00000.053365740416	00000.000006612379	
115816.035160247382	00000.052753434448	00000.000030690737	
614057.397864875151	00002.483493816567	00000.002508732574	
614057.397864875151	00000.156034953280	00000.000368747832	
614057.397864875151	00021.127368532370	00000.052955467774	
614057.397864875151	00050.914593584048	00000.002685355736	
614057.397864875151	00005.410986344301	00000.000000514768	
614057.397864875151	00004.934795830233	00000.000891008935	
614057.397864875151	00000.121526298512	00000.001033912309	
614057.397864875151	00000.068652665979	00000.000001113987	
33434.736795121520	00000.026168112353	00000.000008807476	
54051.098393744222	00000.622151194337	00000.000268280521	
54051.098393744222	00005.465656304776	00000.005714406776	
54051.098393744222	00002.744170970435	00000.002538607809	
54051.098393744222	00000.098382582932	00000.000029393709	
54051.098393744222	00000.046976757700	00000.000010414718	
54051.098393744222	00000.000919363904	00000.000002891068	
25414.274219691157	00000.000598080431	00000.000001840192	
37722.387245983555	00001.645908188813	00000.002930411245	
37722.387245983555	00000.005659073521	00000.000000000810	
37722.387245983555	00000.002894206710	00000.000000003031	
37722.387245983555	00000.267653239331	00000.000000052008	
37722.387245983555	00000.246254942596	00000.000000835885	
37722.387245983555	00000.269893481143	00000.000138596541	
37722.387245983555	00000.004423631437	00000.000002244218	
37722.387245983555	00000.002032624286	00000.000000200657	
18481.481266714545	00022.599211975719	00000.063337755707	
18481.481266714545	00000.042174922933	00000.000010711522	
18481.481266714545	00000.000289934023	00000.000012032440	
18481.481266714545	00000.181761643021	00000.000182444642	
18481.481266714545	00000.069730462485	00000.000062201978	
18481.481266714545	00000.005712084572	00000.000035874831	
18481.481266714545	00000.000055897541	00000.000000419462	
28101.583682039403	00024.065192792312	00000.004344486409	
28101.583682039403	00000.272768533286	00000.000584562606	
28101.583682039403	00000.001582688870	00000.000000553876	
28101.583682039403	00000.296054341549	00000.000024232231	
28101.583682039403	00000.000640315169	00000.000000320143	
28101.583682039403	00000.000080919815	00000.000000445782	
64659.846200839718	00006.748992684047	00000.055634639819	
64659.846200839718	00000.439381710455	00000.000660660182	
64659.846200839718	00000.061088044552	00000.000055004581	
64659.846200839718	00000.005552403203	00000.000001852959	
13512.523544364194	00000.002045864445	00000.000002427799	
13512.523544364194	00000.004231564551	00000.000003570300	
41064.009841725012	00000.019545656886	00000.000027123893	
41064.009841725012	00000.000620580817	00000.000001808798	
41064.009841725012	00010.831962339224	00000.010605505357	
41064.009841725012	00005.547747886211	00000.011119282471	
41064.009841725012	00000.720509828858	00000.000638811400	
41064.009841725012	00001.432129909935	00000.000116816443	
41064.009841725012	00000.000117736305	00000.000004245443	
27131.997574593304	00001.189942142592	00000.009911279174	
27131.997574593304	00000.010247252268	00000.000000974744	
27131.997574593304	00001.554744156880	00000.004948854045	
27131.997574593304	00005.589604246222	00000.017401960554	
27131.997574593304	00000.435906577731	00000.000093166643	
27131.997574593304	00000.091724138715	00000.000000101433	
27131.997574593304	00000.046462507494	00000.000010945906	
27131.997574593304	00000.000376459899	00000.000001252219	
241127.038238451933	00014.639260191680	00000.012681802127	
241127.038238451933	00000.377125874703	00000.000007296809	
241127.038238451933	00000.669620877398	00000.000500080337	
241127.038238451933	00000.126807042280	00000.000008471691	
31924.304531620193	00000.017708617234	00000.000045413206	
03233.428757482954	00000.000914864560	00000.000001810985	
09443.718329126492	00000.101386989580	00000.000000827958	
09443.718329126492	00000.000005877069	00000.000000058329	
09443.718329126492	00000.417843576993	00000.000280172858	
09443.718329126492	00000.299882484184	00000.000806675420	
09443.718329126492	00000.277283062188	00000.000024472581	
09443.718329126492	00000.003136882616	00000.000008511571	
09443.718329126492	00000.000004018065	00000.000001297655	
18383.791770386462	00000.033573586223	00000.000008820989	
18383.791770386462	00003.690726812613	00000.000143249552	
18383.791770386462	00000.000006588488	00000.000001211902	
12165.061984251166	00000.967667724538	00000.001073868772	
12165.061984251166	00000.031376325363	00000.000000449994	
12165.061984251166	00000.000186823807	00000.000001813368	
12165.061984251166	00000.000013268780	00000.000004390211	
14065.307528249548	00000.342331621871	00000.000216024342	
14065.307528249548	00000.000005787055	00000.000000100720	
14065.307528249548	00001.017507417247	00000.003448395559	
14065.307528249548	00001.462454843609	00000.001193009571	
14065.307528249548	00000.063148314323	00000.000001082825	
14065.307528249548	00000.108906262991	00000.000001324064	
14065.307528249548	00000.007394401392	00000.000000217252	
14065.307528249548	00000.003870028117	00000.000000000639	
14039.880818386006	00001.899935633499	00000.011209874485	
14039.880818386006	00000.773371925558	00000.000146737842	
14039.880818386006	00000.001861830399	00000.000011920545	
14039.880818386006	00000.000573271949	00000.000002006339	
14039.880818386006	00000.000131456338	00000.000004608487	
20445.179925856290	00001.109862586547	00000.000023928435	
20445.179925856290	00000.302473226417	00000.000748001189	
20445.179925856290	00004.053462232504	00000.006824150585	
20445.179925856290	00000.004832071553	00000.000014975104	
13938.755993039762	00004.431009966844	00000.003810123571	
13938.755993039762	00000.000242647996	00000.000062856265	
13938.755993039762	00000.269601331018	00000.001632748270	
13938.755993039762	00001.768567505248	00000.001008362602	
13251.361790746812	00000.302157229786	00000.000014409729	
13251.361790746812	00000.000218450613	00000.000006877296	
13220.574534324402	00000.194809966305	00000.000016913851	
13220.574534324402	00000.052945656402	00000.000004146867	
13220.574534324402	00000.001214088210	00000.000000298128	
13220.574534324402	00000.000249057350	00000.000000081586	
13220.574534324402	00000.025578263940	00000.000005595766	
13220.574534324402	00000.052666780297	00000.000007161723	
13220.574534324402	00000.000122112677	00000.000001128518	
18068.895258923483	00000.326004833329	00000.000804268295	
18068.895258923483	00001.063305614120	00000.000387733402	
18068.895258923483	00000.003313824176	00000.000023047122	
35950.762575458248	00000.577362964728	00000.000068375578	
35950.762575458248	00000.262749733520	00000.000000800630	
35950.762575458248	00000.341005830472	00000.000030472707	
10912.893395501509	00000.001157354242	00000.000007053568	
10912.893395501509	00032.384244882943	00000.011731561755	
10912.893395501509	00000.000334013533	00000.000005038228	
112366.975583802254	00001.146047372015	00000.000007954723	
112366.975583802254	00004.828117301048	00000.002449306487	
112366.975583802254	00000.132991707846	00000.000025000245	
112366.975583802254	00000.861193354570	00000.001262225557	
112366.975583802254	00000.430140101996	00000.000183099627	
18291.865948726787	00002.071667785160	00000.000087935673	
18291.865948726787	00000.000966679245	00000.000461801486	
18291.865948726787	00000.005813129736	00000.000004100282	
25872.299665253784	00000.252241376912	00000.000489994545	
25872.299665253784	00000.009803625832	00000.000001753320	
25872.299665253784	00003.545324718303	00000.000298069783	
25872.299665253784	00003.498994749303	00000.004867263503	
39198.877560211127	00000.031870497051	00000.000086691332	
39198.877560211127	00000.011067855282	00000.000025555623	
39198.877560211127	00003.873835804314	00000.003132928424	
39198.877560211127	00000.409197097874	00000.000096468850	
39198.877560211127	00002.168023957998	00000.000240203847	
39198.877560211127	00000.125112789132	00000.000000968927	
39198.877560211127	00000.000748225231	00000.000006481929	
71456.794992956449	00000.117114348478	00000.000005125157	
71456.794992956449	00000.051167838260	00000.000001004355	
71456.794992956449	00000.025798227109	00000.000048355351	
71456.794992956449	00000.004609304980	00000.000004187483	
71456.794992956449	00000.009744836728	00000.000015819534	
71456.794992956449	00000.001077243548	00000.000020977725	
71456.794992956449	00001.330462037818	00000.000030908788	
71456.794992956449	00000.001780189929	00000.000000197893	
35839.784646910935	00013.673937891377	00000.010834324198	
35839.784646910935	00000.009188008412	00000.000013108255	
35839.784646910935	00000.002093000025	00000.000005473629	
35839.784646910935	00001.872934638485	00000.031412555751	
35839.784646910935	00003.002827860343	00000.001027502246	
35839.784646910935	00008.353651843394	00000.000070897151	
35839.784646910935	00000.147128238938	00000.000097452035	
35839.784646910935	00000.000698389119	00000.000000033599	
38950.727689779058	00007.002072202437	00000.000833749389	
38950.727689779058	00000.107114849682	00000.000071054433	
08467.937793216877	00002.276453562037	00000.005580795761	
08467.937793216877	00000.098521178764	00000.000003074033	
08467.937793216877	00000.220619218000	00000.000017373366	
08467.937793216877	00000.019997155858	00000.000183670537	
08467.937793216877	00000.000175129786	00000.000000028458	
12816.262372969824	00000.842149884813	00000.000147035326	
12816.262372969824	00000.983425018096	00000.006105048753	
12816.262372969824	00001.172550882942	00000.000721456163	
12816.262372969824	00000.000516267511	00000.000011918151	
12816.262372969824	00000.000274369380	00000.000002168873	
12816.262372969824	00000.040865985124	00000.000015481235	
12816.262372969824	00000.000177181088	00000.000000152050	
150591.748469087004	00000.029646380780	00000.000009184815	
150591.748469087004	00000.003762842723	00000.000003892492	
150591.748469087004	00003.839805317428	00000.003551544418	
150591.748469087004	00000.012295997540	00000.000011767453	
133308.372227852175	00000.078317976213	00000.000070112342	
133308.372227852175	00000.058763500193	00000.000016427445	
133308.372227852175	00000.130841004317	00000.000019401105	
133308.372227852175	00000.020044442331	00000.000000185457	
124531.039343995682	00013.682747531876	00000.151881803626	
124531.039343995682	00000.193033416984	00000.000060859468	
124531.039343995682	00000.581097617490	00000.000014051860	
124531.039343995682	00002.532511046704	00000.001898499683	
124531.039343995682	00001.056188879156	00000.001178806649	
124531.039343995682	00006.768967268670	00000.005595234313	
124531.039343995682	00000.125624666356	00000.000014862944	
124531.039343995682	00001.496828215990	00000.000679851174	
124531.039343995682	00000.108314404082	00000.000005788477	
126047.019467968712	00002.466492594172	00000.003601477235	
126047.019467968712	00000.517119972518	00000.000394231071	
126047.019467968712	00002.844204078286	00000.000910226564	
126047.019467968712	00002.517628903134	00000.000285174019	
126047.019467968712	00000.366971117250	00000.000050104183	
69973.695389537301	00002.994544648268	00000.000893299933	
69973.695389537301	00000.030124501445	00000.000024997829	
69973.695389537301	00000.201741690870	00000.000012181846	
433777.543405093253	00011.787980121361	00000.000047002874	
107683.315049583674	00001.907097842051	00000.000013446483	
107539.657213165105	00000.555133526314	00000.000102701122	
822462.410113824531	00050.681095879810	00000.056507607134	
822462.410113824531	00000.852023764761	00000.000103196648	
822462.410113824531	00000.683287702363	00000.000175928273	
822462.410113824531	00000.329677055583	00000.000033449886	
822462.410113824531	00175.829690849579	00000.001589775883	
822462.410113824531	00000.077623751127	00000.000028980664	
509413.600869468413	00009.897103972932	00000.033937970536	
509413.600869468413	00007.039460334725	00000.009764912417	
509413.600869468413	00000.176958674013	00000.000077697012	
509413.600869468413	00000.019957232513	00000.000027583600	
509413.600869468413	00000.906333691195	00000.000032831487	
509413.600869468413	00000.021390985568	00000.000013530798	
509413.600869468413	00000.115562892208	00000.000039997261	
244722.975712504238	00003.076795263660	00000.000235963094	
244722.975712504238	00001.390690472263	00000.000758700745	
244722.975712504238	00001.446620606868	00000.000030411613	
244722.975712504238	00002.724739517364	00000.009312687495	
244722.975712504238	00000.190867629998	00000.000005253540	
