Ftherm_star	Ftherm_planet	Frefl_planet	
PPopPhotometry.Star.Blackbody	PPopPhotometry.Planet.Thermal	PPopPhotometry.Planet.Reflected	
514326.969880103657	00072.897643148581	00000.507725020606	
514326.969880103657	00002.209334290175	00000.000480278449	
514326.969880103657	00000.040008035387	00000.000001006360	
514326.969880103657	00002.092417224768	00000.000427836440	
514326.969880103657	00002.946432033768	00000.001158700654	
514326.969880103657	00000.444487919923	00000.000023691185	
514326.969880103657	00003.934562331576	00000.050859413836	
514326.969880103657	00000.934762425578	00000.000022813730	
514326.969880103657	00003.872587112960	00000.000075030586	
514326.969880103657	00000.353945289357	00000.000060837166	
514326.969880103657	00003.974683435788	00000.001124887065	
514326.969880103657	00010.785682622662	00000.029694549474	
514326.969880103657	00003.854937257007	00000.001123389207	
514326.969880103657	00007.526323821274	00000.001637753633	
514326.969880103657	00000.588794361916	00000.000000926520	
514326.969880103657	00000.262192702176	00000.000018541403	
514326.969880103657	00439.724182700672	00000.536832441385	
514326.969880103657	00001.055074488113	00000.000185459738	
514326.969880103657	00001.168347456036	00000.000004177199	
514326.969880103657	00000.036756971170	00000.000001373328	
514326.969880103657	00000.258086257572	00000.000006714699	
03809.825704771489	00001.240730493356	00000.001985929419	
03809.825704771489	00005.258788965341	00000.012982669767	
03809.825704771489	00000.456492155701	00000.000160305063	
03809.825704771489	00000.060057025779	00000.000044759178	
03809.825704771489	00000.003716267145	00000.000032043988	
03809.825704771489	00000.002216171041	00000.000001283876	
03809.825704771489	00000.000015349645	00000.000002016889	
03809.825704771489	00000.000021748514	00000.000006009550	
03809.825704771489	00000.470552854286	00000.000020995382	
03809.825704771489	00000.007757289953	00000.000005369443	
03809.825704771489	00000.000014722841	00000.000001472649	
03809.825704771489	00000.288391151050	00000.000140694069	
03809.825704771489	00000.563077581909	00000.003399277448	
03809.825704771489	00000.377695211440	00000.000780859891	
03809.825704771489	00000.023690484837	00000.000002870852	
03809.825704771489	00000.000005791373	00000.000000019419	
